========================================
[2026-04-22 23:00:01] 자동 업로드 시작
[23:00:01] ⚠️ reports/classify_2026-04-22_2200.md 실패 (1/3)
[23:00:06] ⚠️ reports/classify_2026-04-22_2200.md 실패 (2/3)
[23:00:11] ⚠️ reports/classify_2026-04-22_2200.md 실패 (3/3)
[23:00:16] ❌ reports/classify_2026-04-22_2200.md 최종 실패
[23:00:17] ⚠️ reports/classify_2026-04-22_2000.md 실패 (1/3)
[23:00:22] ⚠️ reports/classify_2026-04-22_2000.md 실패 (2/3)
[23:00:27] ⚠️ reports/classify_2026-04-22_2000.md 실패 (3/3)
[23:00:32] ❌ reports/classify_2026-04-22_2000.md 최종 실패
[23:00:32] ⚠️ reports/classify_2026-04-22_1800.md 실패 (1/3)
[23:00:37] ⚠️ reports/classify_2026-04-22_1800.md 실패 (2/3)
[23:00:42] ⚠️ reports/classify_2026-04-22_1800.md 실패 (3/3)
[23:00:47] ❌ reports/classify_2026-04-22_1800.md 최종 실패
[23:00:48] ⚠️ reports/classify_2026-04-22_1600.md 실패 (1/3)
[23:00:53] ⚠️ reports/classify_2026-04-22_1600.md 실패 (2/3)
[23:00:58] ⚠️ reports/classify_2026-04-22_1600.md 실패 (3/3)
[23:01:03] ❌ reports/classify_2026-04-22_1600.md 최종 실패
[23:01:04] ⚠️ reports/classify_2026-04-22_1400.md 실패 (1/3)
[23:01:09] ⚠️ reports/classify_2026-04-22_1400.md 실패 (2/3)
[23:01:14] ⚠️ reports/classify_2026-04-22_1400.md 실패 (3/3)
[23:01:19] ❌ reports/classify_2026-04-22_1400.md 최종 실패
[23:01:19] ⚠️ reports/classify_2026-04-22_1200.md 실패 (1/3)
[23:01:24] ⚠️ reports/classify_2026-04-22_1200.md 실패 (2/3)
[23:01:29] ⚠️ reports/classify_2026-04-22_1200.md 실패 (3/3)
[23:01:34] ❌ reports/classify_2026-04-22_1200.md 최종 실패
[23:01:35] ⚠️ reports/classify_2026-04-22_1000.md 실패 (1/3)
[23:01:40] ⚠️ reports/classify_2026-04-22_1000.md 실패 (2/3)
[23:01:45] ⚠️ reports/classify_2026-04-22_1000.md 실패 (3/3)
[23:01:50] ❌ reports/classify_2026-04-22_1000.md 최종 실패
[23:01:50] ⚠️ index.md 실패 (1/3)
[23:01:55] ⚠️ index.md 실패 (2/3)
[23:02:00] ⚠️ index.md 실패 (3/3)
[23:02:05] ❌ index.md 최종 실패
[23:02:06] ⚠️ mindvault-out/GRAPH_REPORT.md 실패 (1/3)
[23:02:11] ⚠️ mindvault-out/GRAPH_REPORT.md 실패 (2/3)
[23:02:16] ⚠️ mindvault-out/GRAPH_REPORT.md 실패 (3/3)
[23:02:21] ❌ mindvault-out/GRAPH_REPORT.md 최종 실패
[23:02:21] ⚠️ memory/obsidian-vault-MEMORY.md 실패 (1/3)
[23:02:26] ⚠️ memory/obsidian-vault-MEMORY.md 실패 (2/3)
[23:02:31] ⚠️ memory/obsidian-vault-MEMORY.md 실패 (3/3)
[23:02:36] ❌ memory/obsidian-vault-MEMORY.md 최종 실패
[23:02:37] ⚠️ memory/index.md 실패 (1/3)
[23:02:42] ⚠️ memory/index.md 실패 (2/3)
[23:02:47] ⚠️ memory/index.md 실패 (3/3)
[23:02:52] ❌ memory/index.md 최종 실패
[23:02:52] ⚠️ memory/2026-04-19.md 실패 (1/3)
[23:02:57] ⚠️ memory/2026-04-19.md 실패 (2/3)
[23:03:03] ⚠️ memory/2026-04-19.md 실패 (3/3)
[23:03:08] ❌ memory/2026-04-19.md 최종 실패
[23:03:08] ⚠️ 02-기술-문서/index.md 실패 (1/3)
[23:03:13] ⚠️ 02-기술-문서/index.md 실패 (2/3)
[23:03:18] ⚠️ 02-기술-문서/index.md 실패 (3/3)
[23:03:23] ❌ 02-기술-문서/index.md 최종 실패
[23:03:24] ⚠️ 02-기술-문서/log.md 실패 (1/3)
[23:03:29] ⚠️ 02-기술-문서/log.md 실패 (2/3)
[23:03:34] ⚠️ 02-기술-문서/log.md 실패 (3/3)
[23:03:39] ❌ 02-기술-문서/log.md 최종 실패
[23:03:39] ⚠️ 02-기술-문서/cross-reference.md 실패 (1/3)
[23:03:44] ⚠️ 02-기술-문서/cross-reference.md 실패 (2/3)
[23:03:49] ⚠️ 02-기술-문서/cross-reference.md 실패 (3/3)
[23:03:54] ❌ 02-기술-문서/cross-reference.md 최종 실패
[23:03:55] ⚠️ 02-기술-문서/메모리-시스템-가이드.md 실패 (1/3)
[23:04:00] ⚠️ 02-기술-문서/메모리-시스템-가이드.md 실패 (2/3)
[23:04:05] ⚠️ 02-기술-문서/메모리-시스템-가이드.md 실패 (3/3)
[23:04:10] ❌ 02-기술-문서/메모리-시스템-가이드.md 최종 실패
[23:04:10] ⚠️ 02-기술-문서/옵시디언_윈도우_동기화_가이드.md 실패 (1/3)
[23:04:15] ⚠️ 02-기술-문서/옵시디언_윈도우_동기화_가이드.md 실패 (2/3)
[23:04:20] ⚠️ 02-기술-문서/옵시디언_윈도우_동기화_가이드.md 실패 (3/3)
[23:04:25] ❌ 02-기술-문서/옵시디언_윈도우_동기화_가이드.md 최종 실패
[23:04:26] ⚠️ 02-기술-문서/옵시디언-검색-시스템-구성.md 실패 (1/3)
[23:04:31] ⚠️ 02-기술-문서/옵시디언-검색-시스템-구성.md 실패 (2/3)
[23:04:36] ⚠️ 02-기술-문서/옵시디언-검색-시스템-구성.md 실패 (3/3)
[23:04:41] ❌ 02-기술-문서/옵시디언-검색-시스템-구성.md 최종 실패
[23:04:41] ⚠️ 02-기술-문서/connection_dashboard.md 실패 (1/3)
[23:04:46] ⚠️ 02-기술-문서/connection_dashboard.md 실패 (2/3)
[23:04:51] ⚠️ 02-기술-문서/connection_dashboard.md 실패 (3/3)
[23:04:56] ❌ 02-기술-문서/connection_dashboard.md 최종 실패
[23:04:57] ⚠️ 02-기술-문서/INSTALL.md 실패 (1/3)
[23:05:02] ⚠️ 02-기술-문서/INSTALL.md 실패 (2/3)
[23:05:07] ⚠️ 02-기술-문서/INSTALL.md 실패 (3/3)
[23:05:12] ❌ 02-기술-문서/INSTALL.md 최종 실패
[23:05:13] ⚠️ 02-금형정보/index.md 실패 (1/3)
[23:05:18] ⚠️ 02-금형정보/index.md 실패 (2/3)
[23:05:23] ⚠️ 02-금형정보/index.md 실패 (3/3)
[23:05:28] ❌ 02-금형정보/index.md 최종 실패
[23:05:28] ⚠️ 02-금형정보/생산계획-최신.md 실패 (1/3)
[23:05:33] ⚠️ 02-금형정보/생산계획-최신.md 실패 (2/3)
[23:05:38] ⚠️ 02-금형정보/생산계획-최신.md 실패 (3/3)
[23:05:43] ❌ 02-금형정보/생산계획-최신.md 최종 실패
[23:05:44] ⚠️ 02-금형정보/생산계획-2026-04-18.md 실패 (1/3)
[23:05:49] ⚠️ 02-금형정보/생산계획-2026-04-18.md 실패 (2/3)
[23:05:54] ⚠️ 02-금형정보/생산계획-2026-04-18.md 실패 (3/3)
[23:05:59] ❌ 02-금형정보/생산계획-2026-04-18.md 최종 실패
[23:05:59] ⚠️ 02-금형정보/색상-생산단위-기준.md 실패 (1/3)
[23:06:04] ⚠️ 02-금형정보/색상-생산단위-기준.md 실패 (2/3)
[23:06:09] ⚠️ 02-금형정보/색상-생산단위-기준.md 실패 (3/3)
[23:06:14] ❌ 02-금형정보/색상-생산단위-기준.md 최종 실패
[23:06:15] ⚠️ 02-금형정보/박스당-수량-기준.md 실패 (1/3)
[23:06:20] ⚠️ 02-금형정보/박스당-수량-기준.md 실패 (2/3)
[23:06:25] ⚠️ 02-금형정보/박스당-수량-기준.md 실패 (3/3)
[23:06:30] ❌ 02-금형정보/박스당-수량-기준.md 최종 실패
[23:06:30] ⚠️ 02-금형정보/금형번호-기준.md 실패 (1/3)
[23:06:35] ⚠️ 02-금형정보/금형번호-기준.md 실패 (2/3)
[23:06:40] ⚠️ 02-금형정보/금형번호-기준.md 실패 (3/3)
[23:06:45] ❌ 02-금형정보/금형번호-기준.md 최종 실패
